system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
batlik,corona,2,0.9,310,0.16154247003647734
batlik,cranium,1,1.33,212,0.11047420531526837
batlik,cubus,1,4.17,148,0.0771235018238666
batlik,flame,1,1.17,173,0.09015112037519542
batlik,france,2,2.39,338,0.1761334028139656
batlik,frisco,1,3.13,210,0.10943199583116206
batlik,jelly,2,1.13,417,0.21730067743616466
batlik,karte,2,7.04,463,0.2412714955706097
batlik,mandelbrot,1,1.04,149,0.07764460656591975
batlik,strawberry,4,1.11,736,0.38353309015112036
batlik,village,1,1.61,344,0.17926003126628454
