system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
xz,ambivert,1,3.16,1,0.0005002501250625312
xz,artificl,144,0.01,398,0.19909954977488745
xz,deepfield,1,3.04,0,0.0
xz,enwik8,1,7.66,6,0.0030015007503751876
xz,fannie_mae_500k,1,8.44,5,0.0025012506253126563
xz,large,1,1.07,2,0.0010005002501250625
xz,misc,19,0.18,56,0.02801400700350175
xz,silesia,1,17.53,3,0.0015007503751875938
xz,uiq2-4,1,1.93,2,0.0010005002501250625
xz,uiq2-8,2,3.75,4,0.002001000500250125
xz,uiq2-16,1,7.46,5,0.0025012506253126563
xz,uiq-32,1,15.09,1,0.0005002501250625312
xz,vmlinux-5,1,2.38,1,0.0005002501250625312
