system,workload,autocorrelation
z3,AUFNIRA_z3,0.6654450714375598
z3,LRA_formula_277,0.7195125567381261
z3,QF_AUFBV_891_sqlite3,0.6683074182166324
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002,0.7167515964735616
z3,QF_BV_bench_3176,0.5658900698563565
z3,QF_BV_bench_935,0.632785562192542
z3,QF_LIA_tightrhombus,0.6718121120866867
z3,QF_LRA_clocksynchro_7clocks,0.7177440994635983
z3,QF_NRA_hong_9,0.7478839416699236
z3,QF_RDL_orb08_888,0.6964077886832343
z3,QF_UFLIA_xs_23_43,0.6704249986051439
z3,QF_UF_PEQ018_size6,0.5996807659325599
