,lrzip,xz,z3,dconvert,batlik,kanzi,x264,h2,jump3r
W1,-0.0207040665567515,0.6085007104861673,0.6654450714375598,0.7814927357357813,0.6765880383576293,0.3363353727907072,0.2487589734705733,0.7953018049102702,0.4168400835608379
W2,0.1923989516084409,0.2053170930152704,0.7195125567381261,0.7823454391901937,0.7321721941073774,0.3781013108037919,0.2523660001427281,0.8356638225294978,0.3642869222428583
W3,-0.0168086306086405,0.62382502507959,0.6683074182166324,0.4358364563283151,0.7876659810338035,0.3357661701199341,0.2472996734770557,0.8083443020410603,0.383230683955043
W4,-0.039408927848125,0.4501690964933678,0.7167515964735616,0.7728119200245075,0.8241443584667779,0.3161341697447478,0.2469304322686197,0.1291877928102105,0.4019325306012595
W5,-0.0336686394517427,0.6494045666545879,0.5658900698563565,0.7583914094801633,0.7384444647823831,0.3099140716431907,0.2114404910576066,0.8685801583191891,0.4276470345444361
W6,0.0070167461226232,0.5810705029387311,0.632785562192542,0.5955220377812362,0.725137840494079,0.3293655787457696,0.268970228431983,0.8306876917136474,0.4380894227479298
W7,0.1797863544573474,0.4861177571211868,0.6718121120866867,0.8890826908943478,0.6608746823541854,0.3808692994331561,0.2055501223181367,0.5858703697711833,N/A
W8,-0.0013823881660605,0.6032556467027347,0.7177440994635983,0.7638337128159471,0.728277112479622,0.3160805582976251,0.2269371820769325,0.6811915224445977,N/A
W9,-0.0183283667532435,0.6419772458991065,0.7478839416699236,0.5595074728595604,0.698330542685966,0.4380273211649554,0.3496866738585021,N/A,N/A
W10,-0.0456087537457561,0.6309691997663817,0.6964077886832343,-0.0017658543320129,0.7348128101016007,N/A,N/A,N/A,N/A
W11,-0.0231406170833092,0.6629472550888784,0.6704249986051439,0.3128742126933169,0.6400552130617173,N/A,N/A,N/A,N/A
W12,0.0219575298177994,0.5752093205558858,0.5996807659325599,0.6748412524455805,N/A,N/A,N/A,N/A,N/A
W13,0.0001699725509976,0.6703454544525107,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Median,-0.017,0.609,0.671,0.717,0.728,0.336,0.247,0.802,0.409
IQR,0.03,0.067,0.06,0.246,0.049,0.062,0.025,0.175,0.037
